film_id,title,description,release_year,rental_duration,rental_rate,length,replacement_cost,special_features,language,category_id
1,Academy Dinosaur,A Epic Drama of a Feminist And a Mad Scientist who must Battle a Teacher in The Canadian Rockies,2006,6,0.99,86,20.99,"Deleted Scenes,Behind the Scenes",English,6
2,Ace Goldfinger,A Astounding Epistle of a Database Administrator And a Explorer who must Find a Car in Ancient China,2006,3,4.99,48,12.99,"Trailers,Deleted Scenes",English,11
3,Adaptation Holes,A Astounding Reflection of a Lumberjack And a Car who must Sink a Lumberjack in A Baloon Factory,2006,7,2.99,50,18.99,"Trailers,Deleted Scenes",English,6
4,Affair Prejudice,A Fanciful Documentary of a Frisbee And a Lumberjack who must Chase a Monkey in A Shark Tank,2006,5,2.99,117,26.99,"Commentaries,Behind the Scenes",English,0
5,African Egg,A Fast-Paced Documentary of a Pastry Chef And a Dentist who must Pursue a Forensic Psychologist in The Gulf of Mexico,2006,6,2.99,130,22.99,Deleted Scenes,English,0
6,Agent Truman,A Intrepid Panorama of a Robot And a Boy who must Escape a Sumo Wrestler in Ancient China,2006,3,2.99,169,17.99,Deleted Scenes,English,9
7,Airplane Sierra,A Touching Saga of a Hunter And a Butler who must Discover a Butler in A Jet Boat,2006,6,4.99,62,28.99,"Trailers,Deleted Scenes",English,0
8,Airport Pollock,A Epic Tale of a Moose And a Girl who must Confront a Monkey in Ancient India,2006,6,4.99,54,15.99,Trailers,English,0
9,Alabama Devil,A Thoughtful Panorama of a Database Administrator And a Mad Scientist who must Outgun a Mad Scientist in A Jet Boat,2006,3,2.99,114,21.99,"Trailers,Deleted Scenes",English,11
10,Aladdin Calendar,A Action-Packed Tale of a Man And a Lumberjack who must Reach a Feminist in Ancient China,2006,6,4.99,63,24.99,"Trailers,Deleted Scenes",English,15
11,Alamo Videotape,A Boring Epistle of a Butler And a Cat who must Fight a Pastry Chef in A MySQL Convention,2006,6,0.99,126,16.99,"Commentaries,Behind the Scenes",English,0
12,Alaska Phantom,A Fanciful Saga of a Hunter And a Pastry Chef who must Vanquish a Boy in Australia,2006,6,0.99,136,22.99,"Commentaries,Deleted Scenes",English,12
13,Ali Forever,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,2006,4,4.99,150,21.99,"Deleted Scenes,Behind the Scenes",English,0
15,Alien Center,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,2006,5,2.99,46,10.99,"Trailers,Commentaries,Behind the Scenes",English,9
16,Alley Evolution,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006,6,2.99,180,23.99,"Trailers,Commentaries",English,9
17,Alone Trip,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,2006,3,0.99,82,14.99,"Trailers,Behind the Scenes",English,12
18,Alter Victory,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,2006,6,0.99,57,27.99,"Trailers,Behind the Scenes",English,0
19,Amadeus Holy,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,2006,6,0.99,113,20.99,"Commentaries,Deleted Scenes,Behind the Scenes",English,1
20,Amelie Hellfighters,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,2006,4,4.99,79,23.99,"Commentaries,Deleted Scenes,Behind the Scenes",English,0
21,American Circus,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,2006,3,4.99,129,17.99,"Commentaries,Behind the Scenes",English,1
22,Amistad Midsummer,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,2006,6,2.99,85,10.99,"Commentaries,Behind the Scenes",English,0
23,Anaconda Confessions,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,2006,3,0.99,92,9.99,"Trailers,Deleted Scenes",English,2
